,temp_abs_min,temp_pref_min,temp_pref_max,temp_abs_max,,,,,,,,
Menhaden,17.34,19.42,25.94,29.79,,,,,,,,
Gag Grouper,14.26,21.96,27.05,31.25,,,,,,,,
Red Grouper,21.4,23.82,28.14,32.34,,,,,,,,
King Mackerel,11.54,22,28.03,32.23,,,,,,,,
Red Snapper,11.89,22.97,27.62,31.82,,,,,,,,
Vermillion Snapper,11.57,23.03,28.19,32.39,,,,,,,,
Pink Shrimp,16.02,22.41,28.03,32.23,,,,,,,,
Brown Shrimp,12.2,17.63,28.13,32.33,,,,,,,,
White Shrimp,14.56,16.36,26.95,31.15,,,,,,,,
Amberjack,10.3,17.78,27.9,32.1,,,,,,,,
Grey Triggerfish,2.66,12.76,27.94,32.14,,,,,,,,
