"species","variable","type","abs_min","pref_min","pref_max","abs_max","shape_type","responsefxn_number"
"Menhaden","temperature",1,17.34,17.34,29.79,29.79,"Trapezoid",201
"Menhaden","temperature",0,17.34,19.42,25.94,29.79,"Trapezoid",201
"Menhaden","temperature",2,17.34,21.05,24.31,29.79,"Trapezoid",201
"Menhaden","temperature",3,19.42,21.05,24.31,25.94,"Trapezoid",201
"Menhaden","temperature",4,0,0,40,40,"Trapezoid",201
"Gag Grouper","temperature",1,14.26,14.26,31.25,31.25,"Trapezoid",171
"Gag Grouper","temperature",0,14.26,21.96,27.05,31.25,"Trapezoid",171
"Gag Grouper","temperature",2,14.26,23.2325,25.7775,31.25,"Trapezoid",171
"Gag Grouper","temperature",3,21.96,23.2325,25.7775,27.05,"Trapezoid",171
"Gag Grouper","temperature",4,0,0,40,40,"Trapezoid",171
"Red Grouper","temperature",1,21.4,21.4,32.34,32.34,"Trapezoid",173
"Red Grouper","temperature",0,21.4,23.82,28.14,32.34,"Trapezoid",173
"Red Grouper","temperature",2,21.4,24.9,27.06,32.34,"Trapezoid",173
"Red Grouper","temperature",3,23.82,24.9,27.06,28.14,"Trapezoid",173
"Red Grouper","temperature",4,0,0,40,40,"Trapezoid",173
"King Mackerel","temperature",1,11.54,11.54,32.23,32.23,"Trapezoid",166
"King Mackerel","temperature",0,11.54,22,28.03,32.23,"Trapezoid",166
"King Mackerel","temperature",2,11.54,23.5075,26.5225,32.23,"Trapezoid",166
"King Mackerel","temperature",3,22,23.5075,26.5225,28.03,"Trapezoid",166
"King Mackerel","temperature",4,0,0,40,40,"Trapezoid",166
"Red Snapper","temperature",1,11.89,11.89,31.82,31.82,"Trapezoid",179
"Red Snapper","temperature",0,11.89,22.97,27.62,31.82,"Trapezoid",179
"Red Snapper","temperature",2,11.89,24.1325,26.4575,31.82,"Trapezoid",179
"Red Snapper","temperature",3,22.97,24.1325,26.4575,27.62,"Trapezoid",179
"Red Snapper","temperature",4,0,0,40,40,"Trapezoid",179
"Vermillion Snapper","temperature",1,11.57,11.57,32.39,32.39,"Trapezoid",182
"Vermillion Snapper","temperature",0,11.57,23.03,28.19,32.39,"Trapezoid",182
"Vermillion Snapper","temperature",2,11.57,24.32,26.9,32.39,"Trapezoid",182
"Vermillion Snapper","temperature",3,23.03,24.32,26.9,28.19,"Trapezoid",182
"Vermillion Snapper","temperature",4,0,0,40,40,"Trapezoid",182
"Pink Shrimp","temperature",1,16.02,16.02,32.23,32.23,"Trapezoid",210
"Pink Shrimp","temperature",0,16.02,22.41,28.03,32.23,"Trapezoid",210
"Pink Shrimp","temperature",2,16.02,23.815,26.625,32.23,"Trapezoid",210
"Pink Shrimp","temperature",3,22.41,23.815,26.625,28.03,"Trapezoid",210
"Pink Shrimp","temperature",4,0,0,40,40,"Trapezoid",210
"Brown Shrimp","temperature",1,12.2,12.2,32.33,32.33,"Trapezoid",211
"Brown Shrimp","temperature",0,12.2,17.63,28.13,32.33,"Trapezoid",211
"Brown Shrimp","temperature",2,12.2,20.255,25.505,32.33,"Trapezoid",211
"Brown Shrimp","temperature",3,17.63,20.255,25.505,28.13,"Trapezoid",211
"Brown Shrimp","temperature",4,0,0,40,40,"Trapezoid",211
"White Shrimp","temperature",1,14.56,14.56,31.15,31.15,"Trapezoid",212
"White Shrimp","temperature",0,14.56,16.36,26.95,31.15,"Trapezoid",212
"White Shrimp","temperature",2,14.56,19.0075,24.3025,31.15,"Trapezoid",212
"White Shrimp","temperature",3,16.36,19.0075,24.3025,26.95,"Trapezoid",212
"White Shrimp","temperature",4,0,0,40,40,"Trapezoid",212
"Amberjack","temperature",1,10.3,10.3,32.1,32.1,"Trapezoid",164
"Amberjack","temperature",0,10.3,17.78,27.9,32.1,"Trapezoid",164
"Amberjack","temperature",2,10.3,20.31,25.37,32.1,"Trapezoid",164
"Amberjack","temperature",3,17.78,20.31,25.37,27.9,"Trapezoid",164
"Amberjack","temperature",4,0,0,40,40,"Trapezoid",164
"Grey Triggerfish","temperature",1,2.66,2.66,32.14,32.14,"Trapezoid",195
"Grey Triggerfish","temperature",0,2.66,12.76,27.94,32.14,"Trapezoid",195
"Grey Triggerfish","temperature",2,2.66,16.555,24.145,32.14,"Trapezoid",195
"Grey Triggerfish","temperature",3,12.76,16.555,24.145,27.94,"Trapezoid",195
"Grey Triggerfish","temperature",4,0,0,40,40,"Trapezoid",195
